periodsEnd,runs,printPeriodData,printEveryNPeriods,dataTakingForm
10000,100,0,1,0
Marker,N,bmean,bstdev,econInt,burStr,burFear,Mean_Percent_Acting,StDev_Percent_Acting,Mean_Eq_Percent_Acting,StDev_Eq_Percent_Acting,Mean_Time_to_Equilibrium,StDev_Time_to_Equilibrium,Mean_%_Population_Who_Are_Rabble-Rousers,StDev_%_Population_Who_Are_Rabble-Rousers
109,1000.0,0.6,0.2,0.0,0.5,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.03999999999993,0.34582648770150576,0.023190000000000002,0.004967968102827059
110,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999900000000007,0.00010000000000000022,0.9999900000000007,0.00010000000000000022,54.909999999999926,0.42864597716224223,0.023069999999999997,0.00541463598298933
111,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999700000000008,0.00017144660799776548,0.9999700000000008,0.00017144660799776548,54.77999999999991,0.43992653197477577,0.02271000000000001,0.004564454230709564
112,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999200000000007,0.0003387439663632035,0.9999200000000007,0.0003387439663632035,54.61999999999991,0.508115949544805,0.023210000000000005,0.005168464985179867
113,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999700000000008,0.0001714466079977654,0.9999700000000008,0.0001714466079977654,54.47999999999993,0.5218459852516184,0.023550000000000012,0.004477497046116255
114,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999700000000008,0.00017144660799776554,0.9999700000000008,0.00017144660799776554,54.289999999999914,0.45604802157206825,0.023200000000000005,0.005327648485386249
115,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999700000000008,0.0001714466079977656,0.9999700000000008,0.0001714466079977656,54.21999999999992,0.4163331998932267,0.023429999999999996,0.004967073402096872
116,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999200000000009,0.0003074824459143235,0.9999200000000009,0.0003074824459143235,54.159999999999926,0.3684529491774704,0.022540000000000004,0.004118006774882695
117,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999500000000009,0.00021904291355759046,0.9999500000000009,0.00021904291355759046,54.159999999999926,0.3684529491774704,0.022430000000000005,0.004202584582339441
118,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999400000000009,0.00023868325657594222,0.9999400000000009,0.00023868325657594222,54.049999999999926,0.21904291355759012,0.02226999999999999,0.004128871002777362
